Department,Work Group,Asset Name,Total Count,Count,Rejects,Total Downtime,Fault Count,MTTR,MTBF,Total Uptime,Total Time,Total Breaks,Total Working Time,Production Goal,Production Rate,Planned Rate,Product,Productivity OEE,Availability OEE,Quality OEE,OEE,Shift Number,Start Date,End Date,ScheduleID
100D,Ensamble 100D,Bench 100D,2,2,0,509,7,72,77,30,539,0,30,148,4,16.47,0,0.24,0.055658627,1,0.013358071,2,1/26/2022,1/27/2022,31500
100D,Ensamble 100D,Bench 100D,111,111,0,88,58,1,10,512,600,0,512,157,13.01,15.7,0,0.83,0.853333333,1,0.708266667,1,1/27/2022,1/27/2022,25600
100D,Ensamble 100D,Bench 100D,47,47,0,174,62,2,8,365,539,0,365,148,7.73,16.47,0,0.47,0.677179963,1,0.318274583,2,1/27/2022,1/28/2022,31501
100D,Ensamble 100D,Bench 100D,66,66,0,62,54,1,11,538,600,0,538,157,7.36,15.7,0,0.47,0.896666667,1,0.421433333,1,1/28/2022,1/28/2022,25601
100D,Ensamble 100D,Bench 100D,62,62,0,137,50,2,12,463,600,0,463,157,8.03,15.7,40.5,0.51,0.771666667,1,0.39355,1,1/29/2022,1/29/2022,31502
100D,Ensamble 100D,Bench 100D,122,122,0,61,51,1,11,539,600,0,539,157,13.58,15.7,37.8,0.87,0.898333333,1,0.78155,1,1/31/2022,1/31/2022,25604
100D,Ensamble 100D,Bench 100D,50,50,0,4,41,0,13,535,539,0,535,0,5.61,0,0,0,0.99257885,1,0,2,1/31/2022,2/1/2022,31503
100D,Ensamble 100D,Bench 100D,133,133,0,23,54,0,11,577,600,0,577,160,13.83,16,0,0.86,0.961666667,1,0.827033333,1,2/1/2022,2/1/2022,15530
100D,Ensamble 100D,Bench 100D,81,81,0,15,82,0,6,524,539,0,524,148,9.27,16.47,0,0.56,0.972170686,1,0.544415584,2,2/1/2022,2/2/2022,31504
100D,Ensamble 100D,Bench 100D,118,118,0,21,122,0,4,579,600,0,579,160,12.23,16,0,0.76,0.965,1,0.7334,1,2/2/2022,2/2/2022,15531
100D,Ensamble 100D,Bench 100D,115,115,0,19,44,0,12,520,539,0,520,148,13.27,16.47,0,0.81,0.964749536,1,0.781447124,2,2/2/2022,2/3/2022,31505
100D,Ensamble 100D,Bench 100D,141,141,0,13,60,0,10,587,600,0,587,160,14.41,16,0,0.9,0.978333333,1,0.8805,1,2/3/2022,2/3/2022,15532
100D,Ensamble 100D,Bench 100D,104,104,0,19,99,0,5,520,539,0,520,148,12,16.47,0,0.73,0.964749536,1,0.704267161,2,2/3/2022,2/4/2022,31506
100D,Ensamble 100D,Bench 100D,115,115,0,9,45,0,13,591,600,0,591,160,11.68,16,0,0.73,0.985,1,0.71905,1,2/4/2022,2/4/2022,31554
100D,Ensamble 100D,Bench 100D,57,57,0,5,25,0,21,534,539,0,534,148,6.4,16.47,0,0.39,0.990723562,1,0.386382189,2,2/4/2022,2/5/2022,31553
100D,Ensamble 100D,Bench 100D,107,107,0,5,40,0,12,505,510,0,505,157,12.71,18.47,0,0.69,0.990196078,1,0.683235294,1,2/5/2022,2/5/2022,31563
100D,Ensamble 100D,Bench 100D,143,143,0,5,38,0,15,595,600,0,595,160,14.42,16,0,0.9,0.991666667,1,0.8925,1,2/7/2022,2/7/2022,15536
100D,Ensamble 100D,Bench 100D,98,98,0,14,114,0,4,525,539,0,525,148,11.2,16.47,0,0.68,0.974025974,1,0.662337662,2,2/7/2022,2/8/2022,31507
100D,Ensamble 100D,Bench 100D,109,109,0,65,64,1,9,535,600,0,535,160,12.22,16,0,0.76,0.891666667,1,0.677666667,1,2/8/2022,2/8/2022,15537
100D,Ensamble 100D,Bench 100D,108,108,0,172,68,2,7,367,539,0,367,148,17.66,16.47,0,1.07,0.680890538,1,0.728552876,2,2/8/2022,2/9/2022,31508
100D,Ensamble 100D,Bench 100D,117,117,0,31,56,0,10,569,600,0,569,157,12.34,15.7,0,0.79,0.948333333,1,0.749183333,1,2/9/2022,2/9/2022,25613
100D,Ensamble 100D,Bench 100D,90,90,0,105,66,1,8,434,539,0,434,148,12.44,16.47,0,0.76,0.805194805,1,0.611948052,2,2/9/2022,2/10/2022,31509
100D,Ensamble 100D,Bench 100D,122,122,0,59,56,1,10,541,600,0,541,157,13.53,15.7,0,0.86,0.901666667,1,0.775433333,1,2/10/2022,2/10/2022,25614
100D,Ensamble 100D,Bench 100D,96,96,0,14,62,0,8,525,539,0,525,148,10.97,16.47,0,0.67,0.974025974,1,0.652597403,2,2/10/2022,2/11/2022,31510
100D,Ensamble 100D,Bench 100D,104,104,0,22,108,0,5,578,600,0,578,157,10.8,15.7,0,0.69,0.963333333,1,0.6647,1,2/11/2022,2/11/2022,31528
100D,Ensamble 100D,Bench 100D,32,32,0,21,32,0,16,518,539,0,518,148,3.71,16.47,0,0.22,0.961038961,1,0.211428571,2,2/11/2022,2/12/2022,31527
100D,Ensamble 100D,Bench 100D,96,96,0,32,66,0,7,478,510,0,478,157,12.05,18.47,0,0.65,0.937254902,1,0.609215686,1,2/12/2022,2/12/2022,31564
100D,Ensamble 100D,Bench 100D,148,148,0,35,105,0,5,565,600,0,565,157,15.72,15.7,0,1,0.941666667,1,0.941666667,1,2/14/2022,2/14/2022,25618
100D,Ensamble 100D,Bench 100D,149,149,0,92,65,1,8,447,539,0,447,148,20,16.47,0,1.21,0.829313544,1,1.003469388,2,2/14/2022,2/15/2022,31529
100D,Ensamble 100D,Bench 100D,160,160,0,33,46,0,13,567,600,0,567,157,16.93,15.7,0,1.08,0.945,1,1.0206,1,2/15/2022,2/15/2022,31531
100D,Ensamble 100D,Bench 100D,107,107,0,56,66,0,8,483,539,0,483,148,13.29,16.47,0,0.81,0.896103896,1,0.725844156,2,2/15/2022,2/16/2022,31530
100D,Ensamble 100D,Bench 100D,121,121,0,29,78,0,7,571,600,0,571,157,12.71,15.7,0,0.81,0.951666667,1,0.77085,1,2/16/2022,2/16/2022,31533
100D,Ensamble 100D,Bench 100D,139,139,0,57,70,0,7,482,539,0,482,148,17.3,16.47,0,1.05,0.894248609,1,0.938961039,2,2/16/2022,2/17/2022,31532
100D,Ensamble 100D,Bench 100D,113,113,0,21,82,0,7,579,600,0,579,157,11.71,15.7,0,0.75,0.965,1,0.72375,1,2/17/2022,2/17/2022,31535
100D,Ensamble 100D,Bench 100D,139,139,0,74,75,0,7,465,539,0,465,148,17.94,16.47,0,1.09,0.86270872,1,0.940352505,2,2/17/2022,2/18/2022,31534
100D,Ensamble 100D,Bench 100D,120,120,0,24,90,0,6,576,600,0,576,157,12.5,15.7,0,0.8,0.96,1,0.768,1,2/18/2022,2/18/2022,31537
100D,Ensamble 100D,Bench 100D,47,47,0,250,36,6,14,289,539,0,289,148,9.76,16.47,0,0.59,0.536178108,1,0.316345083,2,2/18/2022,2/19/2022,31536
100D,Ensamble 100D,Bench 100D,114,114,0,69,102,0,5,441,510,0,441,157,15.51,18.47,0,0.84,0.864705882,1,0.726352941,1,2/19/2022,2/19/2022,31565
100D,Ensamble 100D,Bench 100D,114,114,0,42,155,0,3,558,600,0,558,157,12.26,15.7,0,0.78,0.93,1,0.7254,1,2/21/2022,2/21/2022,25625
100D,Ensamble 100D,Bench 100D,109,109,0,98,83,1,6,441,539,0,441,148,14.83,16.47,0,0.9,0.818181818,1,0.736363636,2,2/21/2022,2/22/2022,31517
100D,Ensamble 100D,Bench 100D,116,116,0,21,70,0,8,579,600,0,579,157,12.02,15.7,0,0.77,0.965,1,0.74305,1,2/22/2022,2/22/2022,25626
100D,Ensamble 100D,Bench 100D,91,91,0,10,70,0,7,529,539,0,529,148,10.32,16.47,0,0.63,0.981447124,1,0.618311688,2,2/22/2022,2/23/2022,31518
100D,Ensamble 100D,Bench 100D,112,112,0,37,124,0,4,563,600,0,563,157,11.94,15.7,0,0.76,0.938333333,1,0.713133333,1,2/23/2022,2/23/2022,25627
100D,Ensamble 100D,Bench 100D,97,97,0,43,66,0,8,496,539,0,496,148,11.73,16.47,0,0.71,0.920222635,1,0.653358071,2,2/23/2022,2/24/2022,31519
100D,Ensamble 100D,Bench 100D,125,125,0,12,120,0,5,588,600,0,588,157,12.76,15.7,0,0.81,0.98,1,0.7938,1,2/24/2022,2/24/2022,25628
100D,Ensamble 100D,Bench 100D,61,61,0,298,22,13,24,241,539,0,241,148,15.19,16.47,0,0.92,0.447124304,1,0.41135436,2,2/24/2022,2/25/2022,31520
100D,Ensamble 100D,Bench 100D,90,90,0,69,64,1,9,531,600,0,531,157,10.17,15.7,0,0.65,0.885,1,0.57525,1,2/25/2022,2/25/2022,25629
100D,Ensamble 100D,Bench 100D,44,44,0,315,20,15,26,224,539,0,224,148,11.79,16.47,0,0.72,0.415584416,1,0.299220779,2,2/25/2022,2/26/2022,31521
100D,Ensamble 100D,Bench 100D,0,0,0,510,0,0,0,0,510,0,0,157,0,18.47,0,0,0,1,0,1,2/26/2022,2/26/2022,31566
100D,Ensamble 100D,Bench 100D,118,118,0,95,55,1,10,505,600,0,505,157,14.02,15.7,0,0.89,0.841666667,1,0.749083333,1,2/28/2022,2/28/2022,25632
100D,Ensamble 100D,Bench 100D,121,121,0,10,35,0,15,529,539,0,529,148,13.72,16.47,0,0.83,0.981447124,1,0.814601113,2,2/28/2022,3/1/2022,31522
100D,Ensamble 100D,Bench 100D,90,90,0,98,91,1,6,502,600,0,502,157,10.76,15.7,0,0.69,0.836666667,1,0.5773,1,3/1/2022,3/1/2022,25633
100D,Ensamble 100D,Bench 100D,103,103,0,16,62,0,8,523,539,0,523,147,11.82,16.36,0,0.72,0.970315399,1,0.698627087,2,3/1/2022,3/2/2022,31121
100D,Ensamble 100D,Bench 100D,120,120,0,16,77,0,7,584,600,0,584,157,12.33,15.7,0,0.79,0.973333333,1,0.768933333,1,3/2/2022,3/2/2022,25634
100D,Ensamble 100D,Bench 100D,116,116,0,3,24,0,22,536,539,0,536,148,12.99,16.47,0,0.79,0.994434137,1,0.785602968,2,3/2/2022,3/3/2022,31122
100D,Ensamble 100D,Bench 100D,140,140,0,24,41,0,14,576,600,0,576,157,14.58,15.7,0,0.93,0.96,1,0.8928,1,3/3/2022,3/3/2022,25635
100D,Ensamble 100D,Bench 100D,102,102,0,12,32,0,16,527,539,0,527,148,11.61,16.47,0,0.7,0.977736549,1,0.684415584,2,3/3/2022,3/4/2022,31123
100D,Ensamble 100D,Bench 100D,123,123,0,54,65,0,9,546,600,0,546,157,13.52,15.7,0,0.86,0.91,1,0.7826,1,3/4/2022,3/4/2022,25636
100D,Ensamble 100D,Bench 100D,45,45,0,6,22,0,24,533,539,0,533,148,5.07,16.47,0,0.31,0.988868275,1,0.306549165,2,3/4/2022,3/5/2022,31124
100D,Ensamble 100D,Bench 100D,0,0,0,0,0,0,0,510,510,0,510,157,0,18.47,0,0,1,1,0,1,3/5/2022,3/5/2022,31567
100D,Ensamble 100D,Bench 100D,123,123,0,11,88,0,6,589,600,0,589,157,12.53,15.7,0,0.8,0.981666667,1,0.785333333,1,3/7/2022,3/7/2022,25639
100D,Ensamble 100D,Bench 100D,7,7,0,0,3,0,179,539,539,0,539,148,0.78,16.47,0,0.05,1,1,0.05,2,3/7/2022,3/8/2022,31127
100D,Ensamble 100D,Bench 100D,94,94,0,44,90,0,6,556,600,0,556,157,10.14,15.7,0,0.65,0.926666667,1,0.602333333,1,3/8/2022,3/8/2022,25640
100D,Ensamble 100D,Bench 100D,31,31,0,15,28,0,19,524,539,0,524,148,3.55,16.47,0,0.22,0.972170686,1,0.213877551,2,3/8/2022,3/9/2022,31128
100D,Ensamble 100D,Bench 100D,78,78,0,77,114,0,5,523,600,0,523,157,8.95,15.7,0,0.57,0.871666667,1,0.49685,1,3/9/2022,3/9/2022,25641
100D,Ensamble 100D,Bench 100D,25,25,0,26,44,0,12,513,539,0,513,148,2.92,16.47,0,0.18,0.951762523,1,0.171317254,2,3/9/2022,3/10/2022,31129
100D,Ensamble 100D,Bench 100D,68,68,0,87,77,1,7,513,600,0,513,157,7.95,15.7,0,0.51,0.855,1,0.43605,1,3/10/2022,3/10/2022,25642
100D,Ensamble 100D,Bench 100D,20,20,0,444,12,37,44,95,539,0,95,148,12.63,16.47,0,0.77,0.176252319,1,0.135714286,2,3/10/2022,3/11/2022,31130
100D,Ensamble 100D,Bench 100D,85,85,0,62,61,1,9,538,600,0,538,157,9.48,15.7,0,0.6,0.896666667,1,0.538,1,3/11/2022,3/11/2022,25643
100D,Ensamble 100D,Bench 100D,10,10,0,305,14,21,38,234,539,0,234,148,2.56,16.47,0,0.16,0.434137291,1,0.069461967,2,3/11/2022,3/12/2022,31131
100D,Ensamble 100D,Bench 100D,0,0,0,148,1,148,510,362,510,0,362,157,0,18.47,0,0,0.709803922,1,0,1,3/12/2022,3/12/2022,31568
100D,Ensamble 100D,Bench 100D,115,115,0,33,109,0,5,567,600,0,567,157,12.17,15.7,0,0.78,0.945,1,0.7371,1,3/14/2022,3/14/2022,25646
100D,Ensamble 100D,Bench 100D,131,131,0,69,77,0,7,470,539,0,470,148,16.72,16.47,0,1.02,0.871985158,1,0.889424861,2,3/14/2022,3/15/2022,31134
100D,Ensamble 100D,Bench 100D,94,94,0,52,108,0,5,548,600,0,548,157,10.29,15.7,0,0.66,0.913333333,1,0.6028,1,3/15/2022,3/15/2022,25647
100D,Ensamble 100D,Bench 100D,114,114,0,52,60,0,8,487,539,0,487,148,14.05,16.47,0,0.85,0.903525046,1,0.767996289,2,3/15/2022,3/16/2022,31135
100D,Ensamble 100D,Bench 100D,129,129,0,23,125,0,4,577,600,0,577,157,13.41,15.7,0,0.85,0.961666667,1,0.817416667,1,3/16/2022,3/16/2022,25648
100D,Ensamble 100D,Bench 100D,116,116,0,71,42,1,12,468,539,0,468,148,14.87,16.47,0,0.9,0.868274583,1,0.781447124,2,3/16/2022,3/17/2022,31136
100D,Ensamble 100D,Bench 100D,136,136,0,21,43,0,13,579,600,0,579,157,14.09,15.7,0,0.9,0.965,1,0.8685,1,3/17/2022,3/17/2022,25649
100D,Ensamble 100D,Bench 100D,129,129,0,58,75,0,7,481,539,0,481,148,16.09,16.47,0,0.98,0.892393321,1,0.874545455,2,3/17/2022,3/18/2022,31137
100D,Ensamble 100D,Bench 100D,169,169,0,61,106,0,5,539,600,0,539,157,18.81,15.7,0,1.2,0.898333333,1,1.078,1,3/18/2022,3/18/2022,25650
100D,Ensamble 100D,Bench 100D,54,54,0,42,31,1,17,497,539,0,497,148,6.52,16.47,0,0.4,0.922077922,1,0.368831169,2,3/18/2022,3/19/2022,31138
100D,Ensamble 100D,Bench 100D,66,66,0,35,62,0,8,475,510,0,475,157,8.34,18.47,0,0.45,0.931372549,1,0.419117647,1,3/19/2022,3/19/2022,31569
100D,Ensamble 100D,Bench 100D,123,123,0,68,71,0,8,532,600,0,532,157,13.87,15.7,0,0.88,0.886666667,1,0.780266667,1,3/21/2022,3/21/2022,25653
100D,Ensamble 100D,Bench 100D,89,89,0,14,101,0,5,525,539,0,525,148,10.17,16.47,0,0.62,0.974025974,1,0.603896104,2,3/21/2022,3/22/2022,31141
100D,Ensamble 100D,Bench 100D,127,127,0,101,79,1,7,499,600,0,499,157,15.27,15.7,0,0.97,0.831666667,1,0.806716667,1,3/22/2022,3/22/2022,25654
100D,Ensamble 100D,Bench 100D,44,44,0,184,37,4,14,355,539,0,355,148,7.44,16.47,0,0.45,0.658627087,1,0.296382189,2,3/22/2022,3/23/2022,31142
100D,Ensamble 100D,Bench 100D,117,117,0,91,61,1,9,509,600,0,509,157,13.79,15.7,0,0.88,0.848333333,1,0.746533333,1,3/23/2022,3/23/2022,25655
100D,Ensamble 100D,Bench 100D,71,71,0,51,38,1,14,488,539,0,488,148,8.73,16.47,0,0.53,0.905380334,1,0.479851577,2,3/23/2022,3/24/2022,31143
100D,Ensamble 100D,Bench 100D,101,101,0,22,79,0,7,578,600,0,578,157,10.48,15.7,0,0.67,0.963333333,1,0.645433333,1,3/24/2022,3/24/2022,25656
100D,Ensamble 100D,Bench 100D,78,78,0,10,60,0,8,529,539,0,529,148,8.85,16.47,0,0.54,0.981447124,1,0.529981447,2,3/24/2022,3/25/2022,31144
100D,Ensamble 100D,Bench 100D,79,79,0,13,46,0,13,587,600,0,587,157,8.07,15.7,0,0.51,0.978333333,1,0.49895,1,3/25/2022,3/25/2022,25657
100D,Ensamble 100D,Bench 100D,0,0,0,204,1,204,539,335,539,0,335,148,0,16.47,0,0,0.621521336,1,0,2,3/25/2022,3/26/2022,31145
100D,Ensamble 100D,Bench 100D,64,64,0,68,53,1,9,442,510,0,442,157,8.69,18.47,0,0.47,0.866666667,1,0.407333333,1,3/26/2022,3/26/2022,31570
100D,Ensamble 100D,Bench 100D,115,115,0,23,64,0,9,577,600,0,577,157,11.96,15.7,0,0.76,0.961666667,1,0.730866667,1,3/28/2022,3/28/2022,29926
100D,Ensamble 100D,Bench 100D,92,92,0,58,59,0,9,481,539,0,481,148,11.48,16.47,0,0.7,0.892393321,1,0.624675325,2,3/28/2022,3/29/2022,31148
100D,Ensamble 100D,Bench 100D,115,115,0,37,73,0,8,563,600,0,563,157,12.26,15.7,0,0.78,0.938333333,1,0.7319,1,3/29/2022,3/29/2022,25661
100D,Ensamble 100D,Bench 100D,131,131,0,82,58,1,9,457,539,0,457,148,17.2,16.47,0,1.04,0.847866419,1,0.881781076,2,3/29/2022,3/30/2022,31149
100D,Ensamble 100D,Bench 100D,136,136,0,14,35,0,17,586,600,0,586,157,13.92,15.7,0,0.89,0.976666667,1,0.869233333,1,3/30/2022,3/30/2022,25662
100D,Ensamble 100D,Bench 100D,119,119,0,6,45,0,11,533,539,0,533,148,13.4,16.47,0,0.81,0.988868275,1,0.800983302,2,3/30/2022,3/31/2022,31150
100D,Ensamble 100D,Bench 100D,92,92,0,82,84,0,7,518,600,0,518,157,10.66,15.7,0,0.68,0.863333333,1,0.587066667,1,3/31/2022,3/31/2022,25663
100D,Ensamble 100D,Bench 100D,142,142,0,72,56,1,9,467,539,0,467,148,18.24,16.47,0,1.11,0.866419295,1,0.961725417,2,3/31/2022,4/1/2022,31151
100D,Ensamble 100D,Bench 100D,55,55,0,20,34,0,14,460,480,0,460,0,7.17,0,0,0,0.958333333,1,0,1,4/1/2022,4/1/2022,33021
100D,Ensamble 100D,Bench 100D,80,80,0,58,46,1,7,301,359,0,301,0,15.95,0,0,0,0.838440111,1,0,2,4/1/2022,4/1/2022,33022
100D,Ensamble 100D,Bench 100D,97,97,0,21,111,0,5,579,600,0,579,157,10.05,15.7,0,0.64,0.965,1,0.6176,1,4/4/2022,4/4/2022,31273
100D,Ensamble 100D,Bench 100D,107,107,0,27,78,0,6,512,539,0,512,148,12.54,16.47,0,0.76,0.949907236,1,0.721929499,2,4/4/2022,4/5/2022,31155
100D,Ensamble 100D,Bench 100D,110,110,0,63,86,0,6,537,600,0,537,157,12.29,15.7,0,0.78,0.895,1,0.6981,1,4/5/2022,4/5/2022,31274
100D,Ensamble 100D,Bench 100D,91,91,0,8,39,0,13,531,539,0,531,148,10.28,16.47,0,0.62,0.985157699,1,0.610797774,2,4/5/2022,4/6/2022,31156
100D,Ensamble 100D,Bench 100D,45,45,0,42,28,1,21,558,600,0,558,157,4.84,15.7,0,0.31,0.93,1,0.2883,1,4/6/2022,4/6/2022,31275
100D,Ensamble 100D,Bench 100D,68,68,0,8,53,0,10,531,539,0,531,148,7.68,16.47,0,0.47,0.985157699,1,0.463024119,2,4/6/2022,4/7/2022,31157
100D,Ensamble 100D,Bench 100D,127,127,0,46,57,0,10,554,600,0,554,157,13.75,15.7,0,0.88,0.923333333,1,0.812533333,1,4/7/2022,4/7/2022,31276
100D,Ensamble 100D,Bench 100D,73,73,0,5,40,0,13,534,539,0,534,148,8.2,16.47,0,0.5,0.990723562,1,0.495361781,2,4/7/2022,4/8/2022,31158
100D,Ensamble 100D,Bench 100D,73,73,0,59,56,1,8,421,480,0,421,157,10.4,19.63,0,0.53,0.877083333,1,0.464854167,1,4/8/2022,4/8/2022,31277
100D,Ensamble 100D,Bench 100D,46,46,0,3,20,0,17,356,359,0,356,0,7.75,0,0,0,0.991643454,1,0,2,4/8/2022,4/8/2022,33023
100D,Ensamble 100D,Bench 100D,109,109,0,83,104,0,5,517,600,0,517,157,12.65,15.7,0,0.81,0.861666667,1,0.69795,1,4/18/2022,4/18/2022,31287
100D,Ensamble 100D,Bench 100D,29,29,0,0,6,0,89,539,539,0,539,148,3.23,16.47,0,0.2,1,1,0.2,2,4/18/2022,4/19/2022,31169
100D,Ensamble 100D,Bench 100D,150,150,0,39,99,0,6,561,600,0,561,157,16.04,15.7,0,1.02,0.935,1,0.9537,1,4/19/2022,4/19/2022,31288
100D,Ensamble 100D,Bench 100D,48,48,0,66,31,2,17,473,539,0,473,148,6.09,16.47,0,0.37,0.87755102,1,0.324693878,2,4/19/2022,4/20/2022,31170
100D,Ensamble 100D,Bench 100D,113,113,0,48,40,1,15,552,600,0,552,157,12.28,15.7,0,0.78,0.92,1,0.7176,1,4/20/2022,4/20/2022,31289
100D,Ensamble 100D,Bench 100D,21,21,0,6,9,0,59,533,539,0,533,148,2.36,16.47,0,0.14,0.988868275,1,0.138441558,2,4/20/2022,4/21/2022,31171
100D,Ensamble 100D,Bench 100D,137,137,0,101,56,1,10,499,600,0,499,157,16.47,15.7,0,1.05,0.831666667,1,0.87325,1,4/21/2022,4/21/2022,31290
100D,Ensamble 100D,Bench 100D,0,0,0,8,1,8,539,531,539,0,531,148,0,16.47,0,0,0.985157699,1,0,2,4/21/2022,4/22/2022,31172
